Produto,PDV,valor unitário,Quantidade Vendida,Vendas Total
SuperBalde Premium (13 Un.),122,93.02,201,18696.19
Balde Premium (8 Un.),121,75.10,208,15621.50
Combo Família Premium- p/ 4 pessoas,146,124.38,99,12313.80
Balde Clássico (8 Pedaços),119,61.08,155,9466.66
SuperBalde Clássico(13 un.),120,81.95,87,7129.30
Combo Amigos Premium p/ 2 pessoas,243,91.04,56,5098.40
COXINHAS CRUSH,370,72.70,61,4434.90
Combo Família Clássico p/ 4 pessoas,147,114.66,37,4242.30
Bacon Cheese Burger,31,45.02,66,2971.10
Combo Amigos Clássico p/2 pessoas,242,81.87,35,2865.40
Batatas fritas Grande,54,9.80,268,2625.40
ZAPBOX TIRAS,43,34.55,74,2556.60
ZAPBOX PEDAÇOS,42,31.90,72,2296.80
